MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
QLF15C03,T,Y15-64,2004Q1,26879.7,A,F,NR,3
QLF15C03,M,Y15-64,2004Q1,14355.2,A,F,NR,3
QLF15C03,F,Y15-64,2004Q1,12524.5,A,F,NR,3
QLF15C03,T,Y15-19,2004Q1,523.0,A,F,NR,3
QLF15C03,M,Y15-19,2004Q1,332.7,A,F,NR,3
QLF15C03,F,Y15-19,2004Q1,190.3,A,F,NR,3
QLF15C03,T,Y15-24,2004Q1,2748.0,A,F,NR,3
QLF15C03,M,Y15-24,2004Q1,1502.2,A,F,NR,3
QLF15C03,F,Y15-24,2004Q1,1245.8,A,F,NR,3
QLF15C03,T,Y15-39,2004Q1,13470.7,A,F,NR,3
QLF15C03,M,Y15-39,2004Q1,7235.3,A,F,NR,3
QLF15C03,F,Y15-39,2004Q1,6235.4,A,F,NR,3
QLF15C03,T,Y15-59,2004Q1,26527.5,A,F,NR,3
QLF15C03,M,Y15-59,2004Q1,14169.4,A,F,NR,3
QLF15C03,F,Y15-59,2004Q1,12358.1,A,F,NR,3
QLF15C03,T,Y15-74,2004Q1,26960.5,A,F,NR,3
QLF15C03,M,Y15-74,2004Q1,14406.1,A,F,NR,3
QLF15C03,F,Y15-74,2004Q1,12554.4,A,F,NR,3
QLF15C03,T,Y20-24,2004Q1,2225.0,A,F,NR,3
QLF15C03,M,Y20-24,2004Q1,1169.5,A,F,NR,3
QLF15C03,F,Y20-24,2004Q1,1055.5,A,F,NR,3
QLF15C03,T,Y20-64,2004Q1,26356.7,A,F,NR,3
QLF15C03,M,Y20-64,2004Q1,14022.5,A,F,NR,3
QLF15C03,F,Y20-64,2004Q1,12334.2,A,F,NR,3
QLF15C03,T,Y25-29,2004Q1,3197.4,A,F,NR,3
QLF15C03,M,Y25-29,2004Q1,1700.0,A,F,NR,3
QLF15C03,F,Y25-29,2004Q1,1497.4,A,F,NR,3
QLF15C03,T,Y25-49,2004Q1,18235.4,A,F,NR,3
QLF15C03,M,Y25-49,2004Q1,9677.2,A,F,NR,3
QLF15C03,F,Y25-49,2004Q1,8558.1,A,F,NR,3
QLF15C03,T,Y25-54,2004Q1,21643.5,A,F,NR,3
QLF15C03,M,Y25-54,2004Q1,11490.2,A,F,NR,3
QLF15C03,F,Y25-54,2004Q1,10153.3,A,F,NR,3
QLF15C03,T,Y25-59,2004Q1,23779.4,A,F,NR,3
QLF15C03,M,Y25-59,2004Q1,12667.1,A,F,NR,3
QLF15C03,F,Y25-59,2004Q1,11112.3,A,F,NR,3
QLF15C03,T,Y25-64,2004Q1,24131.7,A,F,NR,3
QLF15C03,M,Y25-64,2004Q1,12853.0,A,F,NR,3
QLF15C03,F,Y25-64,2004Q1,11278.7,A,F,NR,3
QLF15C03,T,Y25-74,2004Q1,24212.4,A,F,NR,3
QLF15C03,M,Y25-74,2004Q1,12903.9,A,F,NR,3
QLF15C03,F,Y25-74,2004Q1,11308.6,A,F,NR,3
QLF15C03,T,Y30-34,2004Q1,3728.9,A,F,NR,3
QLF15C03,M,Y30-34,2004Q1,2019.6,A,F,NR,3
QLF15C03,F,Y30-34,2004Q1,1709.3,A,F,NR,3
QLF15C03,T,Y35-39,2004Q1,3796.4,A,F,NR,3
QLF15C03,M,Y35-39,2004Q1,2013.5,A,F,NR,3
QLF15C03,F,Y35-39,2004Q1,1782.8,A,F,NR,3
QLF15C03,T,Y40-44,2004Q1,3855.3,A,F,NR,3
QLF15C03,M,Y40-44,2004Q1,2031.2,A,F,NR,3
QLF15C03,F,Y40-44,2004Q1,1824.1,A,F,NR,3
QLF15C03,T,Y40-59,2004Q1,13056.8,A,F,NR,3
QLF15C03,M,Y40-59,2004Q1,6934.1,A,F,NR,3
QLF15C03,F,Y40-59,2004Q1,6122.7,A,F,NR,3
QLF15C03,T,Y40-64,2004Q1,13409.0,A,F,NR,3
QLF15C03,M,Y40-64,2004Q1,7119.9,A,F,NR,3
QLF15C03,F,Y40-64,2004Q1,6289.2,A,F,NR,3
QLF15C03,T,Y45-49,2004Q1,3657.5,A,F,NR,3
QLF15C03,M,Y45-49,2004Q1,1912.9,A,F,NR,3
QLF15C03,F,Y45-49,2004Q1,1744.5,A,F,NR,3
QLF15C03,T,Y50-54,2004Q1,3408.2,A,F,NR,3
QLF15C03,M,Y50-54,2004Q1,1813.0,A,F,NR,3
QLF15C03,F,Y50-54,2004Q1,1595.2,A,F,NR,3
QLF15C03,T,Y50-59,2004Q1,5544.0,A,F,NR,3
QLF15C03,M,Y50-59,2004Q1,2989.9,A,F,NR,3
QLF15C03,F,Y50-59,2004Q1,2554.1,A,F,NR,3
QLF15C03,T,Y50-64,2004Q1,5896.3,A,F,NR,3
QLF15C03,M,Y50-64,2004Q1,3175.7,A,F,NR,3
QLF15C03,F,Y50-64,2004Q1,2720.6,A,F,NR,3
QLF15C03,T,Y50-74,2004Q1,5977.1,A,F,NR,3
QLF15C03,M,Y50-74,2004Q1,3226.6,A,F,NR,3
